,Mean_IntrinsicDimension,STD_IntrinsicDimension,Dataset
Anime,15.097415207499512,1.0910533681234407,Anime
Art,13.424377729917119,1.1028625282183706,Art
Cat,13.397330982797987,1.0731692660602652,Cat
CelebA,13.070682118604267,1.0285185830206074,CelebA
Dining,17.405653421733096,1.4645699000763652,Dining
Dog,13.523199381678854,1.1196857738986348,Dog
Fauvism,20.530114615466577,1.5754130943633966,Fauvism
FFHQ,15.466887698763397,1.146447911297081,FFHQ
Garbage,17.430424893257754,1.8062684581215658,Garbage
Grumpy,16.188611177334728,1.043202376077046,Grumpy
Influ,20.632225327912778,2.0153973916486714,Influ
Moon,20.25946799390583,1.6841296835460204,Moon
Panda,15.108507778937245,0.637086124888199,Panda
Poke,23.761542389038688,2.384037991599299,Poke
Shells,12.131411723959076,1.4514412090859166,Shells
Skulls,10.90594742493978,1.0419491915179568,Skulls
