;FID;FID_aug;KID;KID_aug;C-FID;C-FID_aug;IS;LPIPS
Obama;55.55;58.56;0.00;0.04;3.40;2.51;2.31;0.21
Grumpy;45.29;37.62;0.00;0.02;4.66;4.8;2.30;0.2
Cat;61.91;28.13;0.00;0.00;10.76;6.29;2.34;0.21
Dog;102.23;26.65;0.00;0.00;14.67;6.44;2.55;0.2
Panda;20.84;16.44;0.00;0.01;3.75;4.57;2.67;0.22
Influ;218.12;96.40;0.00;0.01;28.47;8.50;2.77;0.27
Moon;148.47;95.75;0.00;0.02;16.62;9.32;3.12;0.25
Anime;84.17;129.1;0.00;0.11;8.12;6.55;2.85;0.23
Poke;138.08;67.66;0.00;0.01;13.94;5.60;3;0.24
Art;180.06;105.58;0.00;0.02;17.00;13.69;3.1;0.26
Fauvism;179.15;102.52;0.00;0.02;14.58;18.55;3.12;0.27
Flat;250.8;111.09;0.00;0.00;28.37;11.16;1.85;0.26
Shell;190.54;57.79;0.00;0.00;20.04;6.65;2.37;0.21
Skull;136.52;63.91;0.00;0.00;9.96;5.06;2.72;0.22
FFHQ;146.04;69.65;0.00;0.00;31.79;6.69;2.59;0.2
LSUNBed;121.41;59.14;0.00;0.00;21.72;10.68;1.5;0.28
CelebA;121.58;62.08;0.00;0.00;31.98;7.70;2.6;0.2
Flowers; 139.04;84.17;0.00;0.00;14.11;9.44;2.4;0.26
Cars;93.72;44.52;0.00;0.00;24.73;9.31;2.5;0.26
Garbage;107.15;47.43;0.00;0.00;26.55;11.31;2.1;0.26
Dining; 111.86;55.19;0.00;0.00;15.97;7.21;2.5;0.26
