,Dataset,Dim_mults,Augmentation,Iteration,FID,KID,Clip_FID,LPIPS_MinAvg,LPIPS_min,LPIPS_norm,Overfit
0,Grumpy,"(1, 2)",0.25,410001.0,36.96762369848574,0.0140805011639835,6.116189696932159,0.1724881346523761,0.094415308535099,0.8624406732618808,False
1,Panda,"(1, 2)",0.25,430001.0,20.791902560420176,0.0085973774463383,7.863168817168178,0.1706138929724693,0.0908640250563621,0.775517695329406,False
2,Obama,"(1, 2, 2)",0.5,310001.0,59.07755356203533,0.0392582415759154,7.948826176907344,0.1303415611479431,0.0569349609315395,0.6206741007044912,False
3,Skulls,"(1, 2, 4)",0.5,270001.0,110.37772889572663,0.0157282577871579,10.841017574988223,0.175252881469205,0.0509787980467081,0.7966040066782047,False
4,Anime,"(1, 2, 4)",0.5,390001.0,71.84260249353494,0.04161475578187,12.87493,0.2007991340570152,0.0911863274872303,0.8730397132913703,False
5,Poke,"(1, 2, 4)",0.5,270001.0,108.7033159813013,0.0255243774068813,15.097489435351092,0.2540424337144941,0.0585903953760862,1.0585101404770587,False
6,Shells,"(1, 2, 2)",0.5,350001.0,120.99115782354907,0.0139509363779946,16.919029182602934,0.2053172307554632,0.0592166427522897,0.9777010988355392,False
7,Cat,"(1, 2)",0.25,410001.0,75.41819681273738,0.0207771831005366,17.719759419365182,0.265601113550365,0.1367668479681015,1.2647672073826903,False
8,CelebA,"(1, 2, 4)",0.5,380001.0,90.50022128796344,0.0227241779119318,18.430299,0.1628033492248505,0.052075382694602,0.8140167461242527,False
9,Fauvism,"(1, 2)",0.25,410001.0,210.09312893502985,0.1036564868269193,19.19531295149245,0.4461493339389563,0.3562808871269226,1.6524049405146528,False
10,Art,"(1, 2)",0.25,430001.0,157.1743941302493,0.0518150725812815,19.99651128780855,0.4372622204571962,0.2615301489830017,1.6817777709892163,False
11,FFHQ,"(1, 2, 4)",0.5,330001.0,107.69265443445892,0.0289187179214015,20.345657,0.167352535398677,0.0590476717799901,0.836762676993385,False
12,Dog,"(1, 2)",0.25,410001.0,156.71701824879312,0.0759239452335858,22.139477434643585,0.2896948916092515,0.1671738535165786,1.4484744580462574,False
13,Moon,"(1, 2)",0.25,370001.0,177.63063376628904,0.0827266022638863,26.54114492242738,0.3968850264698267,0.2386427789926529,1.5875401058793068,False
14,Dining,"(1, 2, 4)",0.5,290001.0,183.3827769160609,0.123831359079072,36.24729839128207,0.3334352223202586,0.096348687261343,1.2824431627702255,False
15,LSUNBed,"(1, 2, 4)",0.5,430001.0,189.44341115998589,0.1004176925702336,42.693565780925454,0.4354415161721408,0.1489829786121845,1.55514827204336,False
16,Garbage,"(1, 2, 4)",0.5,350001.0,175.3764514941476,0.078724972439236,45.48720120340416,0.3872336323000491,0.1306777186691761,1.489360124230958,False
17,Influ,"(1, 2, 4)",0.5,370001.0,253.9471987265022,0.107028173315183,46.05928133796791,0.4228729136288166,0.1678138419985771,1.5661959764030244,False
