,Dataset,Dim_mults,Augmentation,Iteration,FID,KID,Clip_FID,LPIPS_MinAvg,LPIPS_min,LPIPS_norm,Overfit
66,Panda,"(1, 2, 2)",0.5,430001.0,19.971464782570017,0.0082914339685921,9.568524199083104,0.1651672528777271,0.0846215683966875,0.7507602403533052,False
20,Grumpy,"(1, 2, 2)",0.5,450000.0,34.696269901293974,0.0132301630366161,8.921019070029164,0.1350990204513072,0.0629402287304401,0.6754951022565364,False
13,Obama,"(1, 2, 4)",0.5,200001.0,51.63358404174421,0.0280063190104166,9.285892902756803,0.1329197562206536,0.0513057511299848,0.6329512200983508,False
116,Anime,"(1, 2, 4)",0.5,370001.0,62.65190317522223,0.0194308922462214,7.267050327887176,0.202951322980225,0.1013852521777153,0.8823970564357612,False
38,Cat,"(1, 2)",0.25,390001.0,72.85969342248157,0.015621418560606,18.37365409041719,0.2499495451897382,0.1101919680833816,1.1902359294749445,False
228,CelebA,"(1, 2, 4)",0.5,380001.0,90.50022128796344,0.0227241779119318,31.841232331044843,0.1628033492248505,0.052075382694602,0.8140167461242527,False
208,FFHQ,"(1, 2, 4)",0.5,330001.0,107.69265443445892,0.0289187179214015,26.96773791992782,0.167352535398677,0.0590476717799901,0.836762676993385,False
131,Poke,"(1, 2, 4)",0.5,270001.0,108.7033159813013,0.0255243774068813,15.097489435351092,0.2540424337144941,0.0585903953760862,1.0585101404770587,False
196,Skulls,"(1, 2, 4)",0.5,270001.0,110.37772889572663,0.0157282577871579,10.841017574988223,0.175252881469205,0.0509787980467081,0.7966040066782047,False
45,Dog,"(1, 2, 4)",0.5,450000.0,119.52683330815596,0.0350819294902146,29.55174468370896,0.270730183981359,0.1060383394360542,1.353650919906795,False
188,Shells,"(1, 2, 2)",0.5,350001.0,120.99115782354907,0.0139509363779946,16.919029182602934,0.2053172307554632,0.0592166427522897,0.9777010988355392,False
135,Art,"(1, 2, 2)",0.5,390001.0,154.59548942477517,0.0410933244949495,33.05924114901083,0.4194675029441714,0.2444855496287346,1.6133365497852747,False
263,Dining,"(1, 2, 2)",0.5,370001.0,156.3777388939483,0.0877682471788194,41.69547375017193,0.3932347026467323,0.2305620402097702,1.5124411640258937,False
253,Garbage,"(1, 2, 4)",0.5,310001.0,169.03221374086664,0.086854197265625,45.51831718576459,0.3965288485214114,0.1708819389343261,1.5251109558515823,False
217,LSUNBed,"(1, 2, 4)",0.5,410001.0,172.67440845179186,0.0791420747711489,47.0954545828474,0.4288407904654741,0.1719637066125869,1.5315742516624076,False
157,Fauvism,"(1, 2, 4)",0.5,450000.0,172.70975179826075,0.0516744819839201,22.41215508637956,0.4035202509537339,0.1951951533555984,1.494519447976792,False
97,Moon,"(1, 2, 2)",0.5,450000.0,174.0610066911254,0.0657726415024926,29.710579746701704,0.3420646639540791,0.17584328353405,1.3682586558163166,False
89,Influ,"(1, 2, 2)",0.5,370001.0,239.6113297554034,0.1144701588738951,66.09191999034205,0.4342538312450051,0.3041098907589912,1.6083475231296485,False
