,Dataset,Dim_mults,Augmentation,Iteration,FID,KID,Clip_FID,LPIPS_MinAvg,LPIPS_min,LPIPS_norm,Overfit
65,Panda,"(1, 2, 2)",0.5,450000.0,20.83671534785033,0.0082640713581123,8.916430851604668,0.1657772480696439,0.0713754616677761,0.753532945771109,False
23,Grumpy,"(1, 2, 2)",0.5,390001.0,34.75833562111123,0.0117818160511363,7.274998206123163,0.1432364130578935,0.0714295476675033,0.7161820652894675,False
188,Shells,"(1, 2, 2)",0.5,350001.0,120.99115782354907,0.0139509363779946,16.919029182602934,0.2053172307554632,0.0592166427522897,0.9777010988355392,False
38,Cat,"(1, 2)",0.25,390001.0,72.85969342248157,0.015621418560606,18.37365409041719,0.2499495451897382,0.1101919680833816,1.1902359294749445,False
196,Skulls,"(1, 2, 4)",0.5,270001.0,110.37772889572663,0.0157282577871579,10.841017574988223,0.175252881469205,0.0509787980467081,0.7966040066782047,False
112,Anime,"(1, 2, 4)",0.5,450000.0,64.47337141583745,0.0187904558568218,7.862755228185346,0.1939256308972835,0.0849779121577739,0.843154916944711,False
228,CelebA,"(1, 2, 4)",0.5,380001.0,90.50022128796344,0.0227241779119318,31.841232331044843,0.1628033492248505,0.052075382694602,0.8140167461242527,False
0,Obama,"(1, 2)",0.25,450000.0,58.380893107716815,0.0242314,9.027139404790294,0.1354156898893416,0.0661840997636318,0.6448366185206743,False
131,Poke,"(1, 2, 4)",0.5,270001.0,108.7033159813013,0.0255243774068813,15.097489435351092,0.2540424337144941,0.0585903953760862,1.0585101404770587,False
208,FFHQ,"(1, 2, 4)",0.5,330001.0,107.69265443445892,0.0289187179214015,26.96773791992782,0.167352535398677,0.0590476717799901,0.836762676993385,False
45,Dog,"(1, 2, 4)",0.5,450000.0,119.52683330815596,0.0350819294902146,29.55174468370896,0.270730183981359,0.1060383394360542,1.353650919906795,False
138,Art,"(1, 2, 4)",0.5,430001.0,164.47789154563253,0.03678538510101,26.217872875490063,0.3664441153407097,0.1803268551826477,1.4094004436181142,False
157,Fauvism,"(1, 2, 4)",0.5,450000.0,172.70975179826075,0.0516744819839201,22.41215508637956,0.4035202509537339,0.1951951533555984,1.494519447976792,False
97,Moon,"(1, 2, 2)",0.5,450000.0,174.0610066911254,0.0657726415024926,29.710579746701704,0.3420646639540791,0.17584328353405,1.3682586558163166,False
251,Garbage,"(1, 2, 4)",0.5,350001.0,175.3764514941476,0.078724972439236,45.48720120340416,0.3872336323000491,0.1306777186691761,1.489360124230958,False
217,LSUNBed,"(1, 2, 4)",0.5,410001.0,172.67440845179186,0.0791420747711489,47.0954545828474,0.4288407904654741,0.1719637066125869,1.5315742516624076,False
263,Dining,"(1, 2, 2)",0.5,370001.0,156.3777388939483,0.0877682471788194,41.69547375017193,0.3932347026467323,0.2305620402097702,1.5124411640258937,False
86,Influ,"(1, 2, 2)",0.5,430001.0,240.7718039812749,0.1048377021977589,61.06285965663271,0.4362519136071205,0.2316234052181243,1.6157478281745203,False
